Feature,Coefficient
Store,-0.00798240775182313
Dept,0.0019165061543091307
IsHoliday,0.006261053331241067
Temperature,-0.0012094531363409946
Fuel_Price,0.053648515533072226
MarkDown1,6.3127586634243385e-06
MarkDown4,-4.586687845417848e-06
MarkDown5,5.587285625168379e-06
CPI,-0.0009144620175364437
Unemployment,-0.01723668484251483
Size,1.1403639782241893e-05
Super_Bowl,0.08003558826056587
Labor_Day,-0.07597982132287706
Thanksgiving,0.18865367304240593
Christmas,-0.18644838664886498
week,-0.0040538363187916935
month,0.030549775181508504
year,-0.08400279611946726
Type_A,-0.1212218202992237
Type_B,0.2674773577191967
Type_C,-0.14625553741997283
